ProductName,CategoryName,SubCategoryName,Vendor,CatalogNumber,Location
"Screw-cap GL 45, with 2 olives, 6-9 mm",Reagents And Chemicals,General Reagents and Chemicals,simada,1129755,
"Screw-cap GL 45, with 2 olives, 6-9 mm",Reagents And Chemicals,General Reagents and Chemicals,simada,1129755,
"Ammonium sulfate,ACS reagent, ≥99.0%",Reagents And Chemicals,Chemical Powder,Sigma-Aldrich,A4915-1KG,
"Ammonium sulfate,ACS reagent, ≥99.0%",Reagents And Chemicals,Chemical Powder,Sigma-Aldrich,A4915-1KG,
"Ammonium sulfate,ACS reagent, ≥99.0%",Reagents And Chemicals,Chemical Powder,Sigma-Aldrich,A4915-1KG,
"Poloxamer 188 solution,10%, sterile-filtered, BioReagent, suitable for insect cell culture",Reagents And Chemicals,Solutions,Sigma-Aldrich,P5556-100ML,
"Poloxamer 188 solution,10%, sterile-filtered, BioReagent, suitable for insect cell culture",Reagents And Chemicals,Solutions,Sigma-Aldrich,P5556-100ML,
"Poloxamer 188 solution,10%, sterile-filtered, BioReagent, suitable for insect cell culture",Reagents And Chemicals,Solutions,Sigma-Aldrich,P5556-100ML,
"Poloxamer 188 solution,10%, sterile-filtered, BioReagent, suitable for insect cell culture",Reagents And Chemicals,Solutions,Sigma-Aldrich,P5556-100ML,
"Poloxamer 188 solution,10%, sterile-filtered, BioReagent, suitable for insect cell culture",Reagents And Chemicals,Solutions,Sigma-Aldrich,P5556-100ML,
"Poloxamer 188 solution,10%, sterile-filtered, BioReagent, suitable for insect cell culture",Reagents And Chemicals,Solutions,Sigma-Aldrich,P5556-100ML,
"Poloxamer 188 solution,10%, sterile-filtered, BioReagent, suitable for insect cell culture",Reagents And Chemicals,Solutions,Sigma-Aldrich,P5556-100ML,
EZ-LiFT Stem Cell Passaging Reagent,Reagents And Chemicals,Solutions,Sigma-Aldrich,SCM139-100ML,
EZ-LiFT Stem Cell Passaging Reagent,Reagents And Chemicals,Solutions,Sigma-Aldrich,SCM139-100ML,
EZ-LiFT Stem Cell Passaging Reagent,Reagents And Chemicals,Solutions,Sigma-Aldrich,SCM139-100ML,
EZ-LiFT Stem Cell Passaging Reagent,Reagents And Chemicals,Solutions,Sigma-Aldrich,SCM139-100ML,
EZ-LiFT Stem Cell Passaging Reagent,Reagents And Chemicals,Solutions,Sigma-Aldrich,SCM139-100ML,
EZ-LiFT Stem Cell Passaging Reagent,Reagents And Chemicals,Solutions,Sigma-Aldrich,SCM139-100ML,
EZ-LiFT Stem Cell Passaging Reagent,Reagents And Chemicals,Solutions,Sigma-Aldrich,SCM139-100ML,
"Acetic acid,puriss. p.a., ACS reagent, reag. ISO, reag. Ph. Eur., ≥99.8%",Reagents And Chemicals,Solutions,Sigma-Aldrich,33209-1L,
"Sodium hydroxide solution,50% in H2O",Reagents And Chemicals,Solutions,Sigma-Aldrich,415413-1L,
"Chloroform,contains 100-200 ppm amylenes as stabilizer, ≥99.5%",Reagents And Chemicals,Solutions,Sigma-Aldrich,C2432-500ML,
"Sodium DL-lactate solution,syrup, BioReagent, 60 % (w/w), synthetic, suitable for cell culture",Reagents And Chemicals,Solutions,Sigma-Aldrich,L4263-100ML,
"Propidium iodide solution,solution (1.0 mg/ml in water)",Reagents And Chemicals,Solutions,Sigma-Aldrich,P4864-10ML,
"Hepes solution,1 M, pH 7.0-7.6, sterile-filtered, BioReagent, suitable for cell culture",Reagents And Chemicals,Solutions,Sigma-Aldrich,H0887-100ML,
"Hepes solution,1 M, pH 7.0-7.6, sterile-filtered, BioReagent, suitable for cell culture",Reagents And Chemicals,Solutions,Sigma-Aldrich,H0887-100ML,EQ15
"Chloroform:isoamyl alcohol 24:1,suitable for nucleic acid purification",Reagents And Chemicals,Solutions,Sigma-Aldrich,C0549-1PT,
"Phenol:chloroform:isoamyl Alcohol 25:24:1 Saturated with 10 mm Tris, pH 8.0, 1 mm EDTA,Supplied with Equilibration buffer, for molecular biology",Reagents And Chemicals,Solutions,Sigma-Aldrich,P2069-100ML,
"Ethanol absolute for analysis EMSURE, ACS, ISO Reag. Ph Eur",Reagents And Chemicals,Solutions,Sigma-Aldrich,1009832500,
"DNA Molecular Weight Marker III, DIG-labeled",Reagents And Chemicals,Solutions,Sigma-Aldrich,11218603910,EQ5
"DNA Molecular Weight Marker VII, DIG-labeled",Reagents And Chemicals,Solutions,Sigma-Aldrich,11669940910,EQ5
EZ-LiFT Stem Cell Passaging Reagent,Reagents And Chemicals,Solutions,Sigma-Aldrich,SCM139-500ML,
SODIUM HYDROXIDE SOLUTION C(NAOH) = 2 MO,Reagents And Chemicals,Solutions,Sigma-Aldrich,1091361000,
Dodecyltrimethylammonium bromide (DTAB),Reagents And Chemicals,Chemical Powder,Sigma-Aldrich,D8638-25G,
Trizma® base,Reagents And Chemicals,Chemical Powder,Sigma-Aldrich,T1503-25G,L1G11
"Deoxyribonucleic acid, low molecular weight,from salmon sperm",Reagents And Chemicals,General Reagents and Chemicals,Sigma-Aldrich,31149-10G-F,
"Milk Free Antibody Diluent ",Reagents And Chemicals,Solutions,Yair technologies,043-524,
Insulin (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-12017547122,
Urea (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-04460715190,
Creatinine (Jaffe) (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-04810716190,
LDL-C (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-07005717190,
HDL-C (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-07528566190,
Triglycerides (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-20767107322,
Cholesterol (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-03039773190,
Bilirubin total (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-05795397190,
ALT (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-20764957322,
AST (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-20764949322,
ALKP (ALP) (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-03333701190,
Albumin (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-03183688122,
Fe (iron) (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-03183696122,
Ferritin (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-03528995190,
Transferrin (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-03015050122,
TSH (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-08429324190,
FT4 (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-07976836190,
Total protein (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-03183734190,
LDH (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-03004732122,
Vit B12 (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-07212771190,
Cortisol (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-06687733190,
Testosterone (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-05200067190,
Folic Acid (Folate) (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-07559992190,
Uric acid (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-03183807190,
hsCRP (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-04628918190,
Vitamin D (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-05894913190,
Calcium (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-05061482190,
Phosphore (PO4) (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-03183793122,
Magnesium (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-06481647190,
Transferrin Receptor (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-07227841190,
IGF1 (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-07475896 190,
Lipoprotein (a) (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,"ROCHE-05852625 190 ",
Apolipoprotein A-1 (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-03032566 122,
Apolipoprotein B (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-03032574 122,
SHBG (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-03052001 190,
DHEA (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-03000087122,
PSA (total) (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-08791686190,
ceruloplasmin (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-20764663 322,
Alpha-amilase (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-03183742 122,
Gamma-Gt (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,"ROCHE-03002721 122 ",
Cystatin C (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,"ROCHE-06600239 190 ",
D-dimer (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-04912551 190,
IL-6 (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-09015604190,
NT-proBNP (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-08836736190,
homocysteine (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-05385415 190,
HbA1c (Reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-05336163190,
HbA1c (Reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-05336163190,
Glucose (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-04404483190,
Glucose (COBAS reagent),Reagents And Chemicals,General Reagents and Chemicals,gamidor,ROCHE-04404483190,
DXH 500 Lyse,Reagents And Chemicals,Solutions,Teva-SLE,RB36846,
DXH 500 Lyse,Reagents And Chemicals,Solutions,Teva-SLE,RB36846,
DXH 500 Lyse,Reagents And Chemicals,Solutions,Teva-SLE,RB36846,
DXH 500 Lyse,Reagents And Chemicals,Solutions,Teva-SLE,RB36846,
DXH Diluent,Reagents And Chemicals,Solutions,Teva-SLE,RB36845,
DXH Diluent,Reagents And Chemicals,Solutions,Teva-SLE,RB36845,
DXH Diluent,Reagents And Chemicals,Solutions,Teva-SLE,RB36845,
DXH Diluent,Reagents And Chemicals,Solutions,Teva-SLE,RB36845,
DXH 500 cleaner,Reagents And Chemicals,Solutions,Teva-SLE,RB36868,
DXH 500 cleaner,Reagents And Chemicals,Solutions,Teva-SLE,RB36868,
DXH 500 cleaner,Reagents And Chemicals,Solutions,Teva-SLE,RB36868,
DXH 500 cleaner,Reagents And Chemicals,Solutions,Teva-SLE,RB36868,
DXH 500 cleaner,Reagents And Chemicals,Solutions,Teva-SLE,RB36868,
